,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Date,Hour,WeekDay,Month,Total_Booking
0,Summer,0,1, Clear + Few clouds,22.14,25.76,77,16.9979,1335916800000000000,19,Wednesday,May,504
1,Fall,0,1, Clear + Few clouds,28.7,33.335,79,19.0012,1346803200000000000,4,Wednesday,September,5
2,Spring,0,1, Clear + Few clouds,5.74,6.06,50,22.0028,1294876800000000000,9,Thursday,January,139
3,Winter,0,1, Clear + Few clouds,13.94,16.665,29,8.9981,1321574400000000000,16,Friday,November,209
4,Fall,0,1, Clear + Few clouds,30.34,33.335,51,19.0012,1315872000000000000,13,Tuesday,September,184
5,Fall,0,1, Clear + Few clouds,33.62,12.12,36,22.0028,1345161600000000000,17,Friday,August,791
6,Winter,0,0, Clear + Few clouds,24.6,29.545,73,12.998,1349481600000000000,9,Saturday,October,395
7,Fall,0,1, Clear + Few clouds,21.32,25.0,68,19.0012,1347235200000000000,4,Monday,September,5
8,Fall,0,0," Light Snow, Light Rain",27.06,31.06,61,7.0015,1342224000000000000,4,Saturday,July,9
9,Spring,0,0, Clear + Few clouds,12.3,15.15,56,11.0014,1296950400000000000,18,Sunday,February,78
10,Spring,0,1, Clear + Few clouds,18.04,21.97,62,32.9975,1326758400000000000,15,Tuesday,January,129
11,Fall,0,1, Clear + Few clouds,24.6,31.06,40,12.998,1347235200000000000,20,Monday,September,390
12,Spring,0,0, Clear + Few clouds,18.86,22.725,38,26.0027,1299974400000000000,13,Sunday,March,221
13,Summer,0,1, Clear + Few clouds,25.42,30.305,61,15.0013,1339632000000000000,9,Thursday,June,357
14,Spring,0,1, Clear + Few clouds,13.12,15.15,39,19.9995,1328745600000000000,14,Thursday,February,144
15,Fall,0,1, Mist + Cloudy ,22.96,26.515,73,12.998,1316390400000000000,23,Monday,September,68
16,Winter,0,0, Clear + Few clouds,26.24,30.305,65,16.9979,1349481600000000000,11,Saturday,October,647
17,Spring,0,1, Mist + Cloudy ,17.22,21.21,77,12.998,1297987200000000000,8,Friday,February,272
18,Winter,0,0, Clear + Few clouds,22.96,26.515,73,6.0032,1318118400000000000,19,Sunday,October,302
19,Summer,0,1, Mist + Cloudy ,27.88,31.82,65,11.0014,1339459200000000000,1,Tuesday,June,16
20,Fall,0,1, Mist + Cloudy ,36.9,39.395,27,8.9981,1312243200000000000,17,Tuesday,August,556
21,Fall,0,1, Clear + Few clouds,27.88,31.82,62,11.0014,1315785600000000000,10,Monday,September,129
22,Summer,0,1," Light Snow, Light Rain",22.96,26.515,88,8.9981,1305676800000000000,20,Wednesday,May,213
23,Fall,0,1, Clear + Few clouds,29.52,34.85,74,7.0015,1344297600000000000,22,Tuesday,August,224
24,Fall,0,0, Clear + Few clouds,31.16,35.605,62,8.9981,1313280000000000000,17,Sunday,August,329
25,Winter,0,0, Mist + Cloudy ,10.66,12.12,56,16.9979,1324080000000000000,9,Saturday,December,100
26,Winter,0,1, Mist + Cloudy ,13.94,18.18,93,0.0,1354492800000000000,7,Monday,December,396
27,Summer,0,1, Clear + Few clouds,22.96,26.515,73,15.0013,1335916800000000000,18,Wednesday,May,813
28,Summer,0,1, Mist + Cloudy ,17.22,21.21,82,12.998,1302652800000000000,11,Wednesday,April,61
29,Summer,0,1, Clear + Few clouds,26.24,31.06,41,31.0009,1338768000000000000,10,Monday,June,187
30,Fall,0,1, Clear + Few clouds,31.98,35.605,49,12.998,1341878400000000000,17,Tuesday,July,872
31,Winter,0,1, Clear + Few clouds,15.58,19.695,40,11.0014,1352073600000000000,14,Monday,November,196
32,Fall,0,1, Clear + Few clouds,31.98,36.365,55,32.9975,1310428800000000000,9,Tuesday,July,176
33,Summer,0,0, Mist + Cloudy ,22.14,25.76,83,19.0012,1336262400000000000,2,Sunday,May,93
34,Winter,0,1, Clear + Few clouds,6.56,8.335,80,11.0014,1323734400000000000,7,Tuesday,December,223
35,Fall,0,1, Clear + Few clouds,28.7,32.575,65,6.0032,1309824000000000000,7,Tuesday,July,270
36,Winter,0,1, Clear + Few clouds,19.68,23.485,51,7.0015,1320192000000000000,16,Wednesday,November,266
37,Summer,0,1, Mist + Cloudy ,18.04,21.97,62,23.9994,1304467200000000000,12,Wednesday,May,124
38,Fall,0,1, Clear + Few clouds,28.7,32.575,65,12.998,1310342400000000000,0,Monday,July,35
39,Winter,0,1, Mist + Cloudy ,16.4,20.455,94,6.0032,1355702400000000000,18,Monday,December,507
40,Summer,0,1, Clear + Few clouds,31.98,34.09,35,0.0,1307318400000000000,13,Monday,June,180
41,Winter,0,0, Mist + Cloudy ,13.12,15.15,49,19.9995,1351900800000000000,4,Saturday,November,16
42,Spring,0,1, Mist + Cloudy ,13.12,17.425,62,0.0,1297036800000000000,12,Monday,February,66
43,Summer,0,1, Clear + Few clouds,19.68,23.485,48,7.0015,1336608000000000000,23,Thursday,May,135
44,Winter,0,0, Clear + Few clouds,16.4,20.455,35,19.0012,1321660800000000000,12,Saturday,November,311
45,Winter,0,1," Light Snow, Light Rain",14.76,18.18,100,6.0032,1355097600000000000,0,Monday,December,20
